file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,31
style.css,54,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,8
style.css,55,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,0
style.css,56,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,0
style.css,57,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,6
style.css,58,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,14
style.css,59,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,18
style.css,60,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,0
style.css,61,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,0
style.css,62,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,5
style.css,63,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,8
style.css,64,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,7
style.css,65,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,14
style.css,66,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,0
style.css,67,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,0
style.css,68,css,5e94dfab,Owen Yang,2025-01-18,18:08:04,-08:00,2025-01-18T18:08:04-08:00,0,7
style.css,69,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,19
style.css,70,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,0
style.css,71,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,0
